_id,Category,Community,Status,Target Completion Date,Area,Region,Estimated Total Budget ($),Latitude,Longitude,Raw Completion Date,Municipal Funding_Flag,Provincial Funding_Flag,Federal Funding_Flag,Other Funding_Flag
110,Child care,Ajax,Complete,2024-09-21,Durham,Central,898164,43.87113,-79.03333,21-Sep,0,1,0,0
111,Child care,Ajax,Complete,2024-10-20,Durham,Central,252086,43.85407,-79.0382,20-Oct,0,1,0,0
112,Child care,Ajax,Complete,2024-01-22,Durham,Central,2304653,43.8762,-79.0302,22-Jan,0,1,0,0
113,Child care,Ajax,Complete,2024-10-22,Durham,Central,908212,43.82344,-79.02777,22-Oct,0,1,0,0
114,Child care,Alfred and Plantagenet,Complete,2024-09-24,Prescott and Russell,East,524337,45.57206,-75.13025,24-Sep,0,1,1,0
115,Child care,Alnwick-Haldimand,Complete,2024-09-18,Northumberland,East,515000,43.990089,-78.02302,18-Sep,0,1,0,0
116,Child care,Amherstburg,Complete,2024-02-22,Essex,Southwest,2117517,42.11563,-83.10671,22-Feb,0,1,0,0
117,Child care,Asphodel-Norwood,Complete,2024-04-22,Peterborough,East,949999,44.38282,-77.97247,22-Apr,0,1,1,1
118,Child care,Assiginack,Complete,2024-09-19,Manitoulin,Northeast,1310844,45.74619818,-81.81125655,19-Sep,0,1,0,1
119,Child care,Aurora,Complete,2024-09-20,York,Central,3000000,43.962218,-79.467054,20-Sep,0,1,0,0
120,Child care,Aurora,Complete,2024-09-19,York,Central,300000,43.990408,-79.455347,19-Sep,0,1,0,0
121,Child care,Aylmer,Complete,2024-09-24,Elgin,Southwest,3486317,42.77007,-80.98351,24-Sep,0,1,0,1
122,Child care,Barrie,Complete,2024-09-22,Simcoe,Central,1428508,44.35183,-79.64351,22-Sep,0,1,1,0
123,Child care,Bracebridge,Complete,2024-09-18,Muskoka,Central,1926570,45.053205,-79.296459,18-Sep,0,1,0,0
124,Child care,Brampton,Complete,2024-01-21,Peel,Central,1427893,43.64629,-79.74281,21-Jan,0,1,0,0
125,Child care,Brampton,Complete,2024-01-25,Peel,Central,1994793,43.73791,-79.74674,25-Jan,0,1,0,0
