_id,Category,Status,Estimated Total Budget ($),Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Latitude,Longitude,Target_Year
1102,Education,Under construction,12768481,0,1,0,1,43.68426,-79.48743,2025
1103,Education,Planning,11513307,0,1,0,0,43.67907523,-79.33703884,2025
1104,Education,Complete,5491007,0,1,0,1,43.6688208,-79.4909364,2025
1105,Education,Complete,13994993,0,1,0,1,43.7707619,-79.3925187,2025
1106,Education,Complete,3032638,0,1,0,0,43.69938,-79.39484,2025
1107,Education,Complete,5275587,0,1,0,0,43.65817,-79.43799,2025
1109,Education,Complete,21475469,0,1,0,1,43.6282483,-79.51771366,2025
1110,Education,Complete,27329038,0,1,0,0,43.78448073,-79.35948012,2025
1111,Education,Complete,4585000,0,1,0,0,43.68082989,-79.33047497,2025
1112,Education,Planning,3139978,0,1,0,1,43.726739,-79.44428,2025
1113,Education,Complete,24727761,0,1,0,1,43.68082989,-79.33047497,2025
1114,Education,Under construction,4423735,0,1,0,0,43.77426711,-79.4105157,2025
1115,Education,Under construction,37770041,0,1,0,1,43.68026014,-79.51927676,2025
1116,Education,Planning,5848608,0,1,0,0,43.8096061,-79.317908,2025
1117,Education,Planning,26355588,0,1,0,0,43.68068812,-79.51912325,2025
1118,Education,Planning,36013876,0,1,0,0,43.634,-79.50543,2025
1119,Education,Planning,24088380,0,1,0,0,43.74088,-79.4111,2025
1120,Education,Under construction,11539404,0,1,0,0,43.78584,-79.37088,2025
1121,Education,Complete,1210000,0,1,1,0,43.63589,-79.50594,2025
1122,Education,Complete,1867708,0,1,0,0,43.68426,-79.48743,2025
1124,Education,Under construction,11045702,0,1,0,1,43.69058949,-79.47615359,2025
1125,Education,Under construction,2879699,0,1,0,0,43.7780078,-79.15606408,2025
1126,Education,Complete,992200,0,1,0,0,43.6282483,-79.51771366,2025
1127,Education,Planning,2532250,0,1,0,0,43.7385487,-79.2061959,2025
1133,Education,Complete,10799431,0,1,0,0,43.85193557,-79.57052541,2025
1134,Education,Complete,8759418,0,1,0,1,43.83015,-79.65562,2025
1135,Education,Complete,10810212,0,1,0,0,43.85542,-79.49838,2025
1136,Education,Complete,13696143,0,1,0,0,43.871308,-79.471585,2025
1137,Education,Complete,400000,0,1,0,0,43.77843,-79.57271,2025
1138,Education,Complete,21118850,0,1,1,1,43.80055,-79.5706,2025
1139,Education,Complete,22555780,0,1,0,0,43.834519,-79.658079,2025
1140,Education,Complete,1342883,0,1,0,0,43.792,-79.5577,2025
1143,Education,Complete,15268128,0,1,0,1,42.92128757,-79.374331,2025
1144,Education,Complete,5435041,0,1,0,0,42.92128757,-79.374331,2025
1148,Education,Complete,12281593,0,1,0,1,43.45243,-80.59072,2025
1149,Education,Complete,10481931,0,1,0,1,43.43141329,-80.41455458,2025
1150,Education,Complete,0,0,0,0,0,43.44535,-80.55375,2025
1151,Education,Complete,17082532,1,1,0,1,43.38166243,-80.47942227,2025
1152,Education,Complete,6421759,0,1,0,0,43.46852,-80.57619,2025
1153,Education,Complete,6756092,0,1,0,1,43.47399,-80.50175,2025
1154,Education,Under construction,3246837,0,1,0,0,43.29061148,-80.46086602,2025
1155,Education,Complete,14176412,0,1,1,1,42.98925,-79.2245,2025
1156,Education,Complete,2745130,0,1,0,0,42.98923,-79.22445,2025
1157,Education,Under construction,10393253,0,1,0,0,43.0216,-79.2616,2025
1158,Education,Under construction,12738136,0,1,0,1,42.99590581,-79.26292038,2025
1161,Education,Complete,485260,0,1,0,0,43.89712,-80.63285,2025
1162,Education,Complete,10299245,0,1,0,0,43.094687,-79.548565,2025
1163,Education,Complete,3112199,0,1,0,1,46.372,-79.9409,2025
1164,Education,Complete,0,0,0,1,1,46.36026,-79.92363,2025
1166,Education,Complete,0,0,0,0,1,43.47518,-81.18946,2025
1167,Education,Complete,27774060,0,1,0,1,43.965799,-78.962663,2025
1168,Education,Complete,0,0,0,0,1,43.88258,-78.93402,2025
1169,Education,Complete,12861196,0,1,0,1,43.924966,-78.937811,2025
1170,Education,Complete,252085,0,1,0,0,43.96636081,-78.94324063,2025
1171,Education,Complete,754694,0,1,0,1,43.87759,-78.92517,2025
1172,Education,Complete,10518724,0,1,0,1,43.8716,-78.9523,2025
1177,Education,Complete,11144869,0,1,0,0,43.96869552,-79.22518053,2025
1178,Education,Complete,35462296,0,1,0,1,43.98152,-79.25821,2025
1179,Education,Complete,12515192,0,1,1,0,43.9677955,-79.2545051,2025
1180,Education,Under construction,25221700,0,1,0,1,43.976392,-79.253238,2025
1181,Education,Complete,1356435,0,1,0,0,43.40155,-80.68592,2025
1183,Education,Complete,15998545,0,1,0,0,42.31108,-83.0195,2025
1184,Education,Complete,6264409,0,1,0,0,42.30719,-82.97359,2025
1185,Education,Complete,10313477,0,1,0,0,42.22538,-83.03094,2025
1186,Education,Complete,8900040,0,1,0,0,42.3076176,-82.9854799,2025
1187,Education,Complete,1289198,0,1,0,0,42.28389,-83.06128,2025
1188,Education,Complete,1832186,0,1,0,1,42.29489,-83.06163,2025
1189,Education,Complete,28557410,0,1,0,1,42.289966,-83.018547,2025
1190,Education,Complete,2386818,0,1,0,0,42.29241,-83.05581,2025
1191,Education,Complete,3567547,0,1,0,0,42.2595,-82.99254,2025
1192,Education,Complete,14884275,0,1,0,0,42.299937,-82.91261,2025
1193,Education,Under construction,4854477,0,1,0,0,42.27782,-83.03014,2025
